type,title,location,site_visit_date,ROM,solicitationNumber,department,typeOfSetAsideDescription,responseDeadLine,postedDate,naicsCode,active,Queried_NAICS,archiveDate,additionalInfoLink,uiLink,fullParentPathName,fullParentPathCode,baseType,organizationType,typeOfSetAside,award,resourceLinks
Presolicitation,Z2DA--FY26 NRM  590-24-115 Public Address System,"Hampton, Virginia",,"$2,000,000 and $5,000,000 | $19 million | $2,000,000",36C24626R0067,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-07-13T09:00:00-04:00,2026-05-28,238210,Yes,238210,2026-10-20,,https://sam.gov/workspace/contract/opp/71a5a3c8e8134ea0b9d736ced39cb57d/view,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.246-NETWORK CONTRACTING OFFICE 6 (36C246)",036.3600.36C246,Presolicitation,OFFICE,SDVOSBC,{'awardee': {}},['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8923c8ae07794336b3c5cdcfd2dbda30/download']
Presolicitation,"Y--Beresford Substation Stage 11, South Dakota",Not Specified,,,89503426BWA000068,,Total Small Business Set-Aside (FAR 19.5),2026-07-15T15:30:00-05:00,2026-05-29,237130,Yes,237130,2026-07-30,,https://sam.gov/workspace/contract/opp/a714afc3bd87454f95d27e77d19cd281/view,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-UPPER GREAT PLAINS REGION",089.8900.895034,Presolicitation,OFFICE,SBA,,
Presolicitation,"Storage Building Parking Lot Installation and Paving, Buffumville Lake, Charlton, MA",Not Specified,,"$100,000 and $250,000 | $100,000 | $250,000",W912WJ26QA119,,Total Small Business Set-Aside (FAR 19.5),,2026-05-29,237310,Yes,237310,2026-06-20,,https://sam.gov/workspace/contract/opp/594f96a31eed4b05b0e37d09a2ab1c1c/view,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST NEW ENGLAND.W2SD ENDIST NEW ENGLAND,021.2100.USACE.NAD.NAE.W912WJ,Presolicitation,OFFICE,SBA,,
Presolicitation,Conemaugh Dam Gantry Crane Machinery Housing Roof Replacement,"Saltsburg, Pennsylvania",,"$45,000,000.00",W911WN26BA008,,Total Small Business Set-Aside (FAR 19.5),,2026-05-29,237990,Yes,237990,2026-06-30,,https://sam.gov/workspace/contract/opp/f4abe79810544ceea4c7ba954cd9ab56/view,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION GREAT LAKES AND OHIO.ENDIST PITTSBURGH.W072 ENDIST PITTSBURGH,021.2100.USACE.LRD.LRP.W911WN,Presolicitation,OFFICE,SBA,,
Presolicitation,Levee Repair at MRLS L246,Not Specified,,"$1,000,000 and $5,000,000 | $1,000,000 | $5,000,000",PANNWD26P0000028054,,Total Small Business Set-Aside (FAR 19.5),,2026-05-28,237990,Yes,237990,2027-05-28,,https://sam.gov/workspace/contract/opp/10cbe47ec5c645bf8eb91ac3ed1eb296/view,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTHWESTERN.ENDIST KANSAS CITY.W071 ENDIST KANSAS CITY,021.2100.USACE.NWD.NWK.W912DQ,Presolicitation,OFFICE,SBA,,
Solicitation,Z--Trail Replacement,Not Specified,,,140P6426B0002,,Total Small Business Set-Aside (FAR 19.5),2026-06-16T12:00:00-04:00,2026-06-10,237990,Yes,237990,2026-08-31,,https://sam.gov/workspace/contract/opp/e7b2dcb0f78943c79892d4ef93962971/view,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.MWR OHIO(64000)",014.1443.140P64,Solicitation,OFFICE,SBA,,
Solicitation,VA-RAPPAHANNOCK RIV NWR-WELL DRILLING,Not Specified,,,140FC226Q0033,,Total Small Business Set-Aside (FAR 19.5),2026-06-23T12:00:00-04:00,2026-06-01,237110,Yes,237110,2026-07-08,,https://sam.gov/workspace/contract/opp/85c26bf0a65c405a824c807e369747f5/view,"INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, CONSTRUCTION A/E TEAM 3",014.1448.140FC3,Solicitation,OFFICE,SBA,,
Presolicitation,Absecon Island Outfalls Repair,Not Specified,,,W912BU26BA026,,Total Small Business Set-Aside (FAR 19.5),2026-06-16T14:00:00-04:00,2026-06-01,237990,Yes,237990,2027-06-01,,https://sam.gov/workspace/contract/opp/b7578d12ae114e5ba59609a8613b0c9b/view,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST PHILADELPHIA.W2SD ENDIST PHILADELPHIA,021.2100.USACE.NAD.NAP.W912BU,Presolicitation,OFFICE,SBA,,
Solicitation,"Memphis National Cemetery, National Shrine Project","Memphis, Tennessee",,,36C78626B0019,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-12T15:00:00-05:00,2026-06-01,237990,Yes,237990,2026-08-03,,https://sam.gov/workspace/contract/opp/ca569f661bfc40b4a6c019bd97cf3d16/view,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NATIONAL CEMETERY ADMIN (36C786)",036.3600.36C786,Solicitation,OFFICE,SDVOSBC,,
Solicitation,North Texas Hospital Patient Porters,"San Antonio, Texas",,,36C25726Q0551,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-17T10:00:00-05:00,2026-06-10,561210,Yes,561210,2026-07-02,,https://sam.gov/workspace/contract/opp/88dabe90bd5e434a9b26a7d448423a4c/view,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.257-NETWORK CONTRACT OFFICE 17 (36C257)",036.3600.36C257,Solicitation,OFFICE,SDVOSBC,,
Solicitation,"Base Operations Support Contract (BOSC) for Naval Air Weapons Station (NAWS) China Lake, California and Other Locations as Approved",Not Specified,,,N6247326R9953,,Total Small Business Set-Aside (FAR 19.5),2026-07-10T14:00:00-07:00,2026-06-10,561210,Yes,561210,2027-06-01,,https://sam.gov/workspace/contract/opp/f0a89fc72de94b69bac95c07e2187e7e/view,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SOUTHWEST SW.NAVFACSYSCOM SOUTHWEST,017.1700.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SW.N62473,Solicitation,OFFICE,SBA,,
Presolicitation,Z--NIFC 410B RSC FIRE ALARM REPLACE,Not Specified,,$19M,140L3726R0006,,Total Small Business Set-Aside (FAR 19.5),2026-08-28T17:00:00-06:00,2026-06-01,238210,Yes,238210,2026-09-30,,https://sam.gov/workspace/contract/opp/49dca8bce3ec4c11a4c1390b14fb16db/view,"INTERIOR, DEPARTMENT OF THE.BUREAU OF LAND MANAGEMENT.NATIONAL INTERAGENCY FIRE CENTER",014.1422.140L37,Presolicitation,OFFICE,SBA,,
Presolicitation,FY26 Brunswick Inner Harbor Dredging Project,Not Specified,,,W912HN26BA008,,Total Small Business Set-Aside (FAR 19.5),2026-06-15T13:00:00-04:00,2026-06-02,237990,Yes,237990,2027-06-02,,https://sam.gov/workspace/contract/opp/c959aa99ccfd4996ba6c47c04f4e5324/view,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION SOUTH ATLANTIC.ENDIST SAVANNAH.W074 ENDIST SAVANNAH,021.2100.USACE.SAD.SAS.W912HN,Presolicitation,OFFICE,SBA,,
Solicitation,Y--FORT HOWES WATER STORAGE TANK,Not Specified,,,140L3626Q0032,,Total Small Business Set-Aside (FAR 19.5),2026-07-15T17:00:00-06:00,2026-06-08,237110,Yes,237110,2026-07-30,,https://sam.gov/workspace/contract/opp/10b1889ade70415cacd9c106a7b59d95/view,"INTERIOR, DEPARTMENT OF THE.BUREAU OF LAND MANAGEMENT.MONTANA STATE OFFICE",014.1422.140L36,Solicitation,OFFICE,SBA,,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2eaf06ab815e4f0ab9d2a40f0d099c1e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5abcf861cd704bf584c47881069cbf76/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6ab2f17d255242f5b74d763212c5d93e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8a330903283f4ce2bbf7cfbfec17b9f1/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/97597e248dec495e992ed804b4f1f351/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b2ac0ae16ad14ec89737a5430d64e0c1/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d03d2dbf7b694010bfdd09eaad3b5646/download']"
Solicitation,Z--ZION- Crawford Dam Removal and Diversion,Not Specified,,,140P6426B0008,,Total Small Business Set-Aside (FAR 19.5),2026-07-08T12:00:00-04:00,2026-06-02,237990,Yes,237990,2026-09-30,,https://sam.gov/workspace/contract/opp/139f0a92ba8f47a5b0602373141a1438/view,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.MWR OHIO(64000)",014.1443.140P64,Solicitation,OFFICE,SBA,,
Presolicitation,Repair Carswell Ave.,"DWG, Texas",,,FA301626FB0001,,Women-Owned Small Business,2026-06-17T12:00:00-05:00,2026-06-02,237310,Yes,237310,2026-07-02,,https://sam.gov/workspace/contract/opp/66130fb15e8d4691b3250d9416a65f12/view,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR EDUCATION AND TRAINING COMMAND.JOINT BASE SAN ANTONIO.FA3016  502 CONS CL,057.5700.AETC.JBSA.FA3016,Presolicitation,OFFICE,WOSB,,
